Date,District,RF,T max ,T min,Avg_tem
1/29/2014,Colombo,0,32.3,24.2,28.25
1/30/2014,Colombo,0,32.8,24.5,28.65
1/31/2014,Colombo,0,31.9,24.9,28.4
2/1/2014,Colombo,0,34.9,24.4,29.65
2/2/2014,Colombo,0,35.3,24.3,29.8
2/3/2014,Colombo,0,34.6,23.5,29.05
2/4/2014,Colombo,0,31.4,23.4,27.4
2/5/2014,Colombo,0,31.3,22.9,27.1
2/6/2014,Colombo,0,30.7,23.1,26.9
2/7/2014,Colombo,0,34.4,22,28.2
2/8/2014,Colombo,0,31,22.3,26.65
2/9/2014,Colombo,0,30.4,22,26.2
2/10/2014,Colombo,0,29.8,20.9,25.35
2/11/2014,Colombo,0,29.5,21,25.25
2/12/2014,Colombo,0,30.5,22.6,26.55
2/13/2014,Colombo,0,29.9,22.4,26.15
2/14/2014,Colombo,0,31.1,23.8,27.45
2/15/2014,Colombo,0,30.8,22.9,26.85
2/16/2014,Colombo,0,30.8,24.4,27.6
2/17/2014,Colombo,0,31.2,23.9,27.55
2/18/2014,Colombo,0,31.4,24.8,28.1
2/19/2014,Colombo,0,32.1,25.6,28.85
2/20/2014,Colombo,1.7,31.3,25.4,28.35
2/21/2014,Colombo,0,32.8,25,28.9
2/22/2014,Colombo,0,31.3,23.9,27.6
2/23/2014,Colombo,17.8,31.1,24.8,27.95
2/24/2014,Colombo,0,31.5,23.6,27.55
2/25/2014,Colombo,0,32.1,25,28.55
2/26/2014,Colombo,0,32.1,24.2,28.15
2/27/2014,Colombo,0,31.2,24.9,28.05
2/28/2014,Colombo,0,31.4,24,27.7
3/1/2014,Colombo,0,31.5,24.7,28.1
3/2/2014,Colombo,0,32,24.9,28.45
3/3/2014,Colombo,0,32.4,25.1,28.75
3/4/2014,Colombo,0,32.2,25.4,28.8
3/5/2014,Colombo,25.2,32.6,26.2,29.4
3/6/2014,Colombo,9.8,31.6,24.4,28
3/7/2014,Colombo,46.5,32.5,23.7,28.1
3/8/2014,Colombo,0,32.5,22.9,27.7
3/9/2014,Colombo,0,34.1,24.4,29.25
3/10/2014,Colombo,0,32.2,24.9,28.55
3/11/2014,Colombo,0,35.2,24.3,29.75
3/12/2014,Colombo,0,32.6,24.3,28.45
3/13/2014,Colombo,0,32.8,24.1,28.45
3/14/2014,Colombo,0,31.7,23.9,27.8
3/15/2014,Colombo,0,31.5,24.1,27.8
3/16/2014,Colombo,0,32.5,24.3,28.4
3/17/2014,Colombo,2.2,33.1,24.4,28.75
3/18/2014,Colombo,2.9,33.2,25.5,29.35
3/19/2014,Colombo,0,30.1,24.3,27.2
3/20/2014,Colombo,0,31.9,25.4,28.65
3/21/2014,Colombo,5.9,32.1,25.5,28.8
3/22/2014,Colombo,0,31.3,25,28.15
3/23/2014,Colombo,0,32.9,25.4,29.15
3/24/2014,Colombo,9.8,32,25.4,28.7
3/25/2014,Colombo,0,32.2,25.1,28.65
3/26/2014,Colombo,0,33.2,24.9,29.05
3/27/2014,Colombo,42.5,32.9,25.7,29.3
3/28/2014,Colombo,0,31.8,24.7,28.25
3/29/2014,Colombo,0,31.9,25.4,28.65
3/30/2014,Colombo,0,32.4,25.4,28.9
3/31/2014,Colombo,0,31.9,25.4,28.65
4/1/2014,Colombo,0,32.2,25.1,28.65
4/2/2014,Colombo,0,32.4,27.9,30.15
4/3/2014,Colombo,16.6,32.7,26.3,29.5
4/4/2014,Colombo,1.9,31.8,25.1,28.45
4/5/2014,Colombo,5.8,32.5,25.4,28.95
4/6/2014,Colombo,4.4,32.4,24,28.2
4/7/2014,Colombo,0.4,33.5,24.2,28.85
4/8/2014,Colombo,41.5,32.5,25.6,29.05
4/9/2014,Colombo,0,31.8,24.7,28.25
4/10/2014,Colombo,9.6,31.9,25.7,28.8
4/11/2014,Colombo,0,32.8,24.9,28.85
4/12/2014,Colombo,0,31.9,25.3,28.6
4/13/2014,Colombo,0,32.4,25.9,29.15
4/14/2014,Colombo,30.3,32.1,25.1,28.6
4/15/2014,Colombo,0.8,31.9,23,27.45
4/16/2014,Colombo,0,32.6,26,29.3
4/17/2014,Colombo,0.9,32.3,25.6,28.95
4/18/2014,Colombo,26.9,32.3,25.7,29
4/19/2014,Colombo,0,32.2,24.9,28.55
4/20/2014,Colombo,0,32.1,25.4,28.75
4/21/2014,Colombo,0.8,32.3,26.8,29.55
4/22/2014,Colombo,2.2,32.6,25.5,29.05
4/23/2014,Colombo,1,31.8,23.9,27.85
4/24/2014,Colombo,37.8,31.7,24.8,28.25
4/25/2014,Colombo,0,32.2,24.6,28.4
4/26/2014,Colombo,0,32.6,26.3,29.45
4/27/2014,Colombo,0.7,32.4,26.4,29.4
4/28/2014,Colombo,4.3,32.3,25.4,28.85
4/29/2014,Colombo,68.8,30.5,25.1,27.8
4/30/2014,Colombo,0,32.2,23.3,27.75
