Product Name,Product Id
AMBEWELA SET YOGHURT,0
HIGHLAND BUTTER SALTED,1
CARGILLS CHOCOLATE ICE CREAM,2
CARGILLS VANILLA ICE CREAM,3
ELEPHANT HOUSE CHOCOALTE ICE CREAM,4
COCACOLA,5
FANTA,6
HAPPY COW CHEESE,7
HARISCHANDRA COFFEE,8
KOTMALE CHEESE WEDGES,9
LION SODA,10
NEWDALE SET YOGHURT,11
PORTELLO,12
PRIMA WHEAT FLOUR,13
SPRITE,14
ELEPHANT HOUSE STRAWBERRY ICE CREAM,15
UDAYAGIRI WHEAT FLOUR,16
ELEPHANT HOUSE VANILA ICE CREAM,17
HIGHLAND YOGHURT,18
